Scale,HT,ML,,HT,ML,Differences,True Count,HT,ML,,,weight estimates using equation,,HT,ML,Error,Error,,HT,ML,truth,,Label Ground Truth,,,
2.77,6304.105263,4480.520593,,1.01492336,1.118144067,0.1032207077,25,25,25,HT miscounts (blueberries),3,,,2.566538159,2.596686193,0.20,0.17,RMSE,0.2034618412,0.1733138068,0.06687757297,,,,,
2.96,6957.08,4830.699396,,1.120048399,1.205533544,0.08548514538,25,25,24,ML miscounts,4,,,2.878481896,2.827265288,0.09,0.14,mean absolute error,0.08551810435,0.1367347119,0.1201679602,,1.123590558,2.84383204,0.12,0.01444033866
2.56,6134.6,4285.17322,,0.9876340228,1.069393816,0.08175979285,25,25,25,total berries,2733,,,2.485560899,2.468057561,0.08,0.10,,,,,,1.018335561,2.536068892,0.03,0.0007801467819
2.36,5816.56,4119.118057,,0.9364314791,1.027953632,0.09152215313,25,25,25,rates %,0.1097694841,,,2.333624567,2.358716708,0.03,0.00,,,,,,0.93457691,2.291160556,0.07,0.005018226895
2.53,6055.16,4277.454327,,0.9748446565,1.067467514,0.09262285746,25,25,25,,0.1463593121,,,2.447610257,2.462974971,0.08,0.07,,,,,,0.994609464,2.466694339,0.06,0.003758384059
2.57,6106.333333,4193.931945,,0.983083258,1.046623941,0.06354068332,25,25,25,correct counts %,99.89023052,,,2.472057145,2.407978737,0.10,0.16,,,,,,,,,
2.46,6268.16,4389.477238,,1.009136386,1.095423585,0.08628719876,25,25,25,,,,,2.549366132,2.536737692,-0.09,-0.07,,,,,,1.009797976,2.511105192,-0.05,0.002218899117
2.37,5954.88,4192.744423,,0.9587001744,1.046327587,0.08762741285,25,25,25,,,,,2.399703782,2.4071968,-0.03,-0.04,,,,,,,,,
2.27,5676,4144.25394,,0.9138021572,1.034226461,0.1204243038,25,25,25,HT miscounts (images),3,,,2.266475244,2.375267707,0.00,-0.11,,,,,,0.9453926227,2.322785446,-0.06,0.003224586925
1.79,4669.416667,3250.049857,,0.7517482422,0.8110718141,0.05932357188,25,25,25,ML miscounts (images),4,,,1.785603093,1.786469167,0.00,0.00,,,,,,0.7544084369,1.764352155,0.03,0.0006578119688
1.96,5098.28,3501.804526,,0.8207926818,0.873898886,0.05310620418,25,25,25,total images,100,,,1.990482735,1.952239805,-0.03,0.01,,,,,,0.8180977213,1.950578132,0.01,0.00005508411979
1.85,4757.708333,3314.769807,,0.7659626741,0.8272231132,0.06126043913,25,25,25,rates %,3,,,1.827782416,1.829084732,0.03,0.02,,,,,,,,,
2.50,6142.6,4335.247066,,0.9889219751,1.081890081,0.09296810564,25,25,25,,,,,2.489382715,2.501029237,0.01,-0.01,,,,,,0.9928306689,2.461493184,0.03,0.00119072035
2.47,5990.954545,4280.423132,,0.9645079611,1.068208399,0.1037004381,25,25,25,,,,,2.41693757,2.464929813,0.05,0.00,,,,,,0.9955004009,2.469299418,0.00,0.00001088615887
2.34,5831.64,4097.544741,,0.9388592692,1.022569866,0.08371059667,25,25,25,,,,,2.340828692,2.344511519,0.00,-0.01,,,,,,0.9458264667,2.324053996,0.01,0.0001944910204
2.28,5537.333333,3810.33301,,0.8914776507,0.9508942456,0.05941659491,27,27,27,,,,,2.200230417,2.155393788,0.08,0.12,,,,,,0.9002913572,2.190910401,0.09,0.007240239828
2.44,6201.16,4371.466487,,0.998349786,1.090928881,0.09257909524,25,25,25,,,,,2.517358415,2.524878315,-0.08,-0.08,,,,,,0.9963907939,2.471902906,-0.03,0.001017795423
2.06,5542.12,3918.822676,,0.8922482754,0.9779685719,0.08572029646,25,25,25,,,,,2.202517138,2.226830005,-0.15,-0.17,,,,,,0.8793389838,2.129646151,-0.07,0.005423755617
3.33,7951.75,5607.874834,,1.280184338,1.399482905,0.1192985667,25,25,25,yolo,y=mx+b,,,3.353662725,3.339005026,-0.02,-0.01,,,,,,,,,
2.99,7433.391304,5315.942336,,1.196731679,1.326629185,0.1298975066,25,25,25,m,0.379,,,3.106028721,3.146778854,-0.11,-0.15,,,,,,1.245446775,3.20013677,-0.21,0.0424923678
2.87,7092.95,5019.457671,,1.141922659,1.252639442,0.1107167833,25,25,25,b,0.134,,,2.943390679,2.951555256,-0.07,-0.08,,,,,,,,,
1.58,4264.52,2952.179749,,0.6865622931,0.7367363242,0.05017403111,25,25,25,,,,,1.592172976,1.590333309,-0.02,-0.01,,,,,,0.6959027053,1.593282764,-0.02,0.0002986939301
1.54,4164.4,2891.220285,,0.67044357,0.7215234797,0.0510799097,25,25,25,ht,y=mx+b,,,1.544342938,1.550193878,-0.01,-0.01,,,,,,0.6660779127,1.506075768,0.03,0.0008954596477
1.55,4346,2952.37767,,0.6996800872,0.7367857165,0.03710562928,25,24,25,m,0.337,,,1.631098182,1.590463632,-0.08,-0.04,,,,,,0.6792525589,1.544598125,0.01,0.00002918024932
2.43,5981,4200.463316,,0.9629053387,1.048253889,0.08534855032,25,25,25,b,0.15,,,2.412182014,2.41227939,0.01,0.01,,,,,,0.9584531742,2.360974194,0.07,0.004228355499
2.53,6442.7,4321.860454,,1.037236286,1.078549362,0.04131307588,11,11,11,,,,,2.632748623,2.492214675,-0.11,0.04,,,,,,0.9627078809,2.373414857,0.15,0.02367224439
2.38,5855.24,4093.784254,,0.9426587285,1.021631411,0.07897268269,25,25,25,truth,,,,2.352103052,2.342035386,0.03,0.04,,,,,,,,,
2.40,5864.875,4116.545093,,0.944209906,1.027311532,0.08310162563,25,25,25,m,0.342,,,2.356705953,2.357022511,0.04,0.04,,,,,,0.9694058231,2.392999483,0.01,0.00002500517289
2.76,6477.791667,4638.263102,,1.042885835,1.157509772,0.114623937,25,25,25,b,0.151,,,2.649512863,2.700553488,0.11,0.06,,,,,,1.059724266,2.657088498,0.10,0.009783485253
2.55,5970.304348,4216.494863,,0.9611834024,1.052254669,0.09107126707,25,25,25,,,,,2.407072411,2.42283554,0.14,0.13,,,,,,0.9729236477,2.40328552,0.15,0.02152513879
2.35,5903.76,4139.305932,,0.9504701592,1.032991652,0.08252149297,25,25,25,,,,,2.375282371,2.372009636,-0.02,-0.02,,,,,,,,,
2.06,5377.695652,3721.891941,,0.8657769358,0.9288231815,0.06304624573,25,25,25,,,,,2.123967169,2.09715879,-0.06,-0.03,,,,,,0.877666655,2.124756301,-0.06,0.003691328133
2.32,5916.88,4092.200891,,0.952582401,1.021236272,0.0686538714,25,25,25,,,,,2.381550151,2.340992803,-0.06,-0.02,,,,,,,,,
1.79,4663.4,3250.049857,,0.7507795948,0.8110718141,0.06029221934,25,25,25,,,,,1.782728768,1.786469167,0.01,0.00,,,,,,,,,
1.68,4399.92,3083.796774,,0.7083608857,0.7695822383,0.06122135258,25,25,25,,,,,1.656857228,1.67699799,0.03,0.01,,,,,,0.7214451083,1.667968153,0.01,0.0001968927309
1.78,4577,3221.351408,,0.7368697099,0.803909923,0.06704021313,25,25,25,,,,,1.741453145,1.767572356,0.04,0.01,,,,,,0.7459058633,1.739490828,0.04,0.001640992998
2.28,5703.666667,4033.616472,,0.9182563256,1.006616136,0.08835981057,25,25,25,,,,,2.279692361,2.302417246,0.00,-0.02,,,,,,,,,
2.07,5320.869565,3758.705123,,0.8566282746,0.938010159,0.08138188441,25,25,25,,,,,2.096819806,2.121398837,-0.03,-0.05,,,,,,0.8780839136,2.125976356,-0.06,0.003133352382
2.07,5425.782609,3740.694373,,0.8735186491,0.933515455,0.0599968059,25,25,25,,,,,2.146939612,2.109539459,-0.08,-0.04,,,,,,,,,
2.35,6066.12,4269.339593,,0.9766091511,1.065442428,0.08883327638,25,25,25,,,,,2.452846146,2.457631735,-0.10,-0.11,,,,,,0.9848435611,2.438139067,-0.09,0.008125051487
1.83,5147.642857,3551.963194,,0.8287398075,0.8864163192,0.05767651174,14,14,14,,,,,2.014064711,1.985267333,-0.19,-0.16,,,,,,,,,
2.00,5390.32,3786.809811,,0.8678093805,0.945023873,0.0772144925,25,25,25,,,,,2.129998162,2.139904678,-0.13,-0.14,,,,,,0.8643403091,2.085790378,-0.08,0.007020827376
2.66,6693.083333,4779.380302,,1.07754651,1.192726519,0.1151800093,25,25,25,,,,2^2,2.75236353,2.793473665,-0.09,-0.13,,,,,,1.089326617,2.743645079,-0.08,0.006665918986
2.88,7007.478261,5069.729437,,1.128162218,1.265185099,0.1370228811,25,25,25,,,,,2.902558511,2.984657255,-0.02,-0.10,,,,,,1.18640609,3.027503188,-0.14,0.02059316489
2.84,7260.434783,5079.229613,,1.16888671,1.267555932,0.09866922227,25,25,25,,,,,3.023402701,2.99091275,-0.19,-0.15,,,,,,1.187378539,3.030346604,-0.19,0.03777060257
1.31,3728.958333,2585.829205,,0.600340058,0.6453110804,0.04497102242,25,24,25,,,,,1.336320647,1.349105753,-0.03,-0.04,,,,,,,,,
1.38,3868.04,2703.195965,,0.622731377,0.6746007452,0.05186936816,25,25,25,,,,,1.40276373,1.426387191,-0.02,-0.04,,,,,,0.6305121041,1.402082176,-0.02,0.000403293778
1.42,3979.2,2763.561668,,0.6406274743,0.6896654126,0.04903793834,25,25,25,,,,,1.455867876,1.466135653,-0.04,-0.05,,,,,,0.636906269,1.420778564,0.00,0.00002283467703
1.21,4521.766667,3164.251391,,0.5461911806,0.5924708789,0.04627969831,30,30,30,,,,,1.175641485,1.209685696,0.03,0.00,,,,,,0.5545456857,1.179958145,0.03,0.0009025130319
1.04,4059.6,2839.33217,,0.490365355,0.5316333688,0.04126801379,30,30,30,,,,,1.009986217,1.049164561,0.03,-0.01,,,,,,0.4982470512,1.015342255,0.02,0.000528589688
1.31,4689.724138,3257.109015,,0.566479023,0.6098574363,0.04337841336,30,30,30,,,,,1.235842798,1.255560518,0.08,0.06,,,,,,0.583702243,1.265211237,0.05,0.002315736171
1.40,5016.066667,3459.812427,,0.6058984411,0.6478113957,0.04191295455,30,30,30,,,,,1.352814365,1.355702891,0.05,0.05,,,,,,0.6148673355,1.356337238,0.05,0.002054757086
1.39,4955.448276,3476.140855,,0.5985762521,0.6508687122,0.05229246012,30,30,30,,,,,1.331086801,1.363769689,0.06,0.02,,,,,,0.6206900469,1.37336271,0.01,0.0001769952554
1.35,4900.344828,3406.703804,,0.5919202214,0.6378673966,0.04594717514,30,30,30,,,,,1.311335969,1.329465426,0.04,0.02,,,,,,0.5978130143,1.306470802,0.04,0.001894791079
1.21,4508.689655,3181.239553,,0.5446115881,0.5956517233,0.05104013516,30,30,30,,,,,1.170954267,1.218078426,0.04,-0.01,,,,,,0.5607998196,1.198245087,0.01,0.0001801388123
1.23,4675.366667,3250.511671,,0.5647447618,0.6086221569,0.0438773951,30,30,30,,,,,1.230696623,1.252301206,0.00,-0.02,,,,,,0.573656421,1.235837488,-0.01,0.00003407626991
1.26,4772.933333,3315.165648,,0.5765299902,0.620727895,0.04419790477,30,30,30,,,,,1.265667627,1.284242467,-0.01,-0.02,,,,,,0.5856725196,1.27097228,-0.01,0.0001203909208
1.77,6222.833333,4409.830046,,0.7516656509,0.8256916283,0.07402597736,30,30,30,,,,,1.785358015,1.825043874,-0.02,-0.06,,,,,,0.7576932072,1.773956746,-0.01,0.00003162277203
1.84,6242.407407,4386.73934,,0.7540300336,0.8213681504,0.06733811684,30,30,30,,,,,1.792373987,1.813636281,0.04,0.02,,,,,,0.7590958028,1.778057903,0.06,0.003242402435
2.11,7169.5,4964.666724,,0.8660149799,0.9295786252,0.0635636453,30,30,30,,,,,2.124673531,2.099152045,-0.01,0.01,,,,,,0.8715825093,2.106966401,0.00,0.000009202719985
1.28,4860.766667,3382.128695,,0.5871395142,0.6332659808,0.0461264666,30,30,30,,,,,1.297149894,1.317324488,-0.02,-0.04,,,,,,0.5901173807,1.28396895,0.00,0.000005300506424
1.81,6350.533333,4384.100402,,0.7670907312,0.8208740386,0.05378330746,30,30,30,,,,,1.831129766,1.812332556,-0.03,-0.01,,,,,,0.7664093432,1.799442524,0.01,0.0000308855387
1.11,3654.5,2578.407193,,0.5456058727,0.5967082851,0.05110241241,30,30,30,,,,,1.173904667,1.220866188,-0.07,-0.12,,,,,,0.5587650026,1.192295329,-0.09,0.007620474531
0.84,3049,2029.013323,,0.4552065415,0.4695647235,0.01435818207,30,30,30,,,,,0.905657393,0.8853950489,-0.06,-0.04,,,,,,0.4515165552,0.8787033778,-0.04,0.001251040049
1.20,3685.5,2519.360959,,0.5502340795,0.5830435012,0.03280942167,30,30,30,,,,,1.187638218,1.184811349,0.01,0.02,,,,,,0.5619812356,1.201699519,0.00,0.000002888366272
1.31,3959.586207,2695.345125,,0.5911543269,0.6237706643,0.03261633734,30,30,30,,,,,1.309063285,1.292270882,0.00,0.02,,,,,,0.6015799357,1.317485192,0.00,0.00001723793214
1.45,4293.482759,3003.935917,,0.6410040792,0.6951863363,0.05418225718,30,30,30,,,,,1.456985398,1.480702734,-0.01,-0.03,,,,,,0.653768639,1.47008374,-0.02,0.0003391885776
1.40,4282.068966,2901.512143,,0.6393000341,0.6714828984,0.03218286429,30,30,30,,,,,1.451928885,1.418160682,-0.06,-0.02,,,,,,0.6419514278,1.435530491,-0.04,0.001510396809
1.39,4088.964286,2664.172672,,0.6104700855,0.6165565745,0.006086488992,30,30,30,,,,,1.366380076,1.273236344,0.03,0.12,,,,,,0.6200498326,1.371490739,0.02,0.000407068074
1.16,3661.928571,2463.943264,,0.5467149361,0.5702184527,0.02350351661,30,30,30,,,,,1.177195656,1.150972171,-0.01,0.01,,,,,,0.5560912803,1.184477428,-0.02,0.0004470727243
1.31,3932.037037,2602.817367,,0.5870413186,0.6023574136,0.01531609496,30,30,30,,,,,1.296858512,1.23577154,0.01,0.07,,,,,,0.5990824629,1.31018264,0.00,0.000003419935856
1.35,4073.28,2646.843268,,0.6081284687,0.6125461144,0.00441764567,30,30,29,,,,,1.359431658,1.262654655,-0.01,0.09,,,,,,0.6138621899,1.353398216,0.00,0.000000004209765965
1.40,4172.461538,2794.601037,,0.6229359745,0.646740979,0.02380500453,30,30,29,,,,,1.403370844,1.352878573,0.00,0.05,,,,,,0.6291059567,1.397970634,0.00,0.000004118328155
1.25,3848.285714,2588.79801,,0.5745374977,0.5991129817,0.02457548396,30,30,30,,,,,1.259755186,1.227211033,-0.01,0.02,,,,,,0.5880474661,1.277916568,-0.03,0.0007793347485
1.11,4273.724138,2967.485589,,0.5162297404,0.555628671,0.03939893061,30,30,30,,,,,1.086735135,1.112476704,0.03,0.00,,,,,,0.5235698185,1.089385434,0.02,0.0005735018759
0.96,3897.166667,2782.759941,,0.4707447817,0.521040848,0.05029606624,30,30,30,,,,,0.9517649309,1.021215958,0.01,-0.06,,,,,,0.4835784734,0.9724516767,-0.01,0.0001163164413
1.30,4732.266667,3267.664767,,0.5716178007,0.6118338834,0.04021608263,30,30,30,,,,,1.251091397,1.260775418,0.04,0.03,,,,,,0.5790356343,1.251566182,0.04,0.001886496528
1.24,4513.4,3169.199399,,0.545180558,0.5933973384,0.04821678044,30,30,30,,,,,1.172642605,1.212130181,0.07,0.03,,,,,,0.5579088247,1.189791885,0.05,0.002690992952
1.35,4839.444444,3324.072063,,0.5845639701,0.6223955222,0.0378315521,30,30,30,,,,,1.28950733,1.288642539,0.06,0.06,,,,,,0.6005556117,1.314490093,0.04,0.001260953518
1.54,5387.433333,3718.263401,,0.6507563945,0.6962034659,0.04544707145,30,30,30,,,,,1.485924019,1.483386454,0.05,0.05,,,,,,0.6640535639,1.50015662,0.04,0.001332983534
1.22,4592.448276,3221.483355,,0.5547289213,0.6031869276,0.04845800628,30,30,30,,,,,1.200976028,1.237960231,0.02,-0.02,,,,,,0.5649078206,1.210256785,0.01,0.0000652306289
1.32,4899.433333,3404.394733,,0.5918101206,0.6374350488,0.04562492815,30,30,30,,,,,1.31100926,1.328324667,0.01,-0.01,,,,,,0.6028038616,1.321063923,0.00,0.0000193358619
1.39,5103,3518.693728,,0.6163992527,0.6588362643,0.04243701152,30,30,30,,,,,1.383974044,1.384792254,0.00,0.00,,,,,,0.6250112448,1.385997792,0.00,0.0000009955884937
1.37,5744.166667,4005.577757,,0.6938467648,0.7499998835,0.05615311863,30,30,30,,,,,1.61378862,1.625329508,-0.24,-0.26,,,,,,0.6956545359,1.592557122,-0.22,0.04953167274
2.11,6465.866667,4514.892758,,0.7810220227,0.8453634526,0.06434142994,30,30,30,,,,,1.87246891,1.876948424,0.24,0.23,,,,,,0.797165374,1.889372438,0.22,0.04867652091
1.78,6019.769231,4245.226299,,0.7271372243,0.7948714074,0.06773418313,30,30,30,,,,,1.712573366,1.74372403,0.07,0.03,,,,,,0.7493057421,1.749431994,0.03,0.0008352873969
1.28,4804.133333,3365.635334,,0.5802986864,0.6301777823,0.04987909593,30,30,30,,,,,1.276850702,1.309176207,0.00,-0.03,,,,,,0.5851794654,1.269530601,0.01,0.0001472840997
1.74,6056.5,4180.077521,,0.7315739906,0.7826730234,0.05109903277,30,30,30,,,,,1.725738845,1.71153832,0.01,0.03,,,,,,0.7255196116,1.679881905,0.06,0.003224509142
1.05,3436.310345,2405.226898,,0.5130308125,0.5566300084,0.04359919585,30,30,30,,,,,1.077242767,1.115118756,-0.03,-0.07,,,,,,0.5276264551,1.101246945,-0.05,0.002799850276
1.00,3369.933333,2352.942942,,0.5031209241,0.5445301858,0.04140926171,30,30,30,,,,,1.04783657,1.083193102,-0.05,-0.09,,,,,,0.5139305396,1.061200408,-0.07,0.004382494055
1.28,3783.142857,2740.866803,,0.5648118648,0.6343055256,0.06949366076,30,30,30,,,,,1.230895741,1.32006735,0.05,-0.04,,,,,,0.5877726426,1.27711299,0.00,0.000008334826351
1.34,4049.733333,2805.190912,,0.6046130221,0.6491917426,0.04457872049,30,31,30,,,,,1.349000066,1.359344967,-0.01,-0.02,,,,,,0.6194860581,1.369842275,-0.03,0.0007938649115
1.45,4468.32,2907.28482,,0.6671067541,0.672818841,0.005712086853,30,30,30,,,,,1.534441407,1.421685596,-0.08,0.03,,,,,,0.6531898805,1.468391464,-0.02,0.0003382459329
1.56,4487.64,3107.019426,,0.6699911721,0.7190424534,0.04905128132,30,30,30,,,,,1.543000511,1.543647634,0.02,0.02,,,,,,0.6736051096,1.528085116,0.03,0.001018559835
1.46,4090.814815,2788.532617,,0.6107463639,0.6453365941,0.03459023019,30,30,30,,,,,1.367199893,1.349173072,0.09,0.11,,,,,,0.631095519,1.403788067,0.05,0.002975186067
1.45,4275.166667,2850.052855,,0.6382695416,0.6595739248,0.02130438313,27,27,27,,,,,1.448871043,1.386738588,0.00,0.06,,,,,,0.6432720849,1.439392061,0.01,0.00007666906203
1.32,3949.222222,2652.303139,,0.5896070152,0.613809666,0.02420265083,29,29,29,,,,,1.304471855,1.265988565,0.01,0.05,,,,,,0.6028444198,1.321182514,0.00,0.0000155325422
1.40,4153.75,2730.640919,,0.620142398,0.6319389988,0.01179660074,30,30,30,,,,,1.3950813,1.313823216,0.00,0.08,,,,,,0.6259856317,1.388846876,0.01,0.00008999286917
1.35,4073.269231,2676.87256,,0.6081268609,0.6194956481,0.01136878717,30,30,29,,,,,1.359426887,1.280991156,-0.01,0.06,,,,,,0.6155470712,1.35832477,-0.01,0.0001775494831
1.28,3854.884615,2468.231538,,0.5755226938,0.5712108671,-0.004311826681,30,30,30,,,,,1.262678617,1.153590678,0.02,0.13,,,,,,0.5844830544,1.267494311,0.02,0.0002508746268